Citizenship,CIP Code and Description (2 digit),Award Level Code,Fiscal Year,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997
Temporary resident,,All Temporary Resident Degrees ,,"130,638","97,311","112,249","114,053","109,107","111,843","108,976","98,753","80,991","67,690","62,021","58,346","54,504","50,085","44,002","37,836","32,922","36,029","38,976","41,445","38,185","32,472","32,389","29,475","27,007","26,593","25,507"
Temporary resident,11 - COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,,,"58,471","35,296","41,133","40,277","35,260","37,017","36,320","30,539","21,826","15,171","13,467","12,622","11,569","10,620","10,546","9,435","8,724","9,769","11,531","13,959","14,008","11,624","11,170","9,525","7,651","6,945","5,988"
Temporary resident,11 - COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,Bachelor's degree,,"10,492","10,734","10,790","9,629","7,982","6,813","5,144","4,086","3,369","2,820","2,383","2,372","2,030","1,869","1,825","1,807","2,437","3,102","3,995","5,063","4,825","3,911","3,409","2,901","2,263","2,146","2,015"
Temporary resident,11 - COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,Master's degree,,"46,356","22,926","28,857","29,248","25,992","29,040","30,084","25,332","17,368","11,289","10,122","9,378","8,748","7,970","8,384","7,419","6,287","6,667","7,536","8,896","9,183","7,713","7,761","6,624","5,388","4,799","3,973"
Temporary resident,11 - COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,Doctor's degree - research/scholarship,,"1,623","1,636","1,486","1,400","1,286","1,164","1,092","1,121","1,089","1,062",962,872,791,781,337,209,-,-,-,-,-,-,-,-,-,-,-
Temporary resident,14 - ENGINEERING.,,,"42,222","34,289","42,147","44,509","46,119","48,317","48,133","45,524","38,359","32,613","29,830","28,427","27,023","24,390","21,710","18,541","15,795","17,866","19,425","20,061","17,652","14,798","15,201","14,333","13,601","13,699","13,276"
Temporary resident,14 - ENGINEERING.,Bachelor's degree,,"9,513","10,871","12,637","13,918","13,643","13,282","11,794","10,097","8,571","7,579","6,782","6,353","5,276","4,529","4,088","4,170","4,394","4,731","4,759","4,586","4,311","4,263","4,420","4,551","4,520","4,665","4,805"
Temporary resident,14 - ENGINEERING.,Master's degree,,"25,899","16,243","22,970","23,854","25,930","28,763","30,425","29,710","24,062","19,392","17,714","17,183","17,027","15,567","15,421","13,149","11,401","13,135","14,666","15,475","13,341","10,535","10,781","9,782","9,081","9,034","8,471"
Temporary resident,14 - ENGINEERING.,Doctor's degree - research/scholarship,,"6,810","7,175","6,540","6,737","6,546","6,272","5,914","5,717","5,726","5,642","5,334","4,891","4,720","4,294","2,201","1,222",-,-,-,-,-,-,-,-,-,-,-
Temporary resident,26 - BIOLOGICAL AND BIOMEDICAL SCIENCES.,,,"10,406","9,139","9,163","9,252","8,744","8,567","8,184","7,875","7,575","7,386","7,302","7,110","6,815","6,486","4,973","4,167","3,546","3,336","3,139","2,732","2,487","2,372","2,372","2,166","2,315","2,365","2,443"
Temporary resident,26 - BIOLOGICAL AND BIOMEDICAL SCIENCES.,Bachelor's degree,,"4,271","4,402","4,399","4,346","4,069","3,812","3,505","3,247","2,900","2,813","2,936","2,796","2,722","2,491","2,337","2,204","2,230","2,038","1,912","1,602","1,486","1,448","1,420","1,366","1,434","1,427","1,466"
Temporary resident,26 - BIOLOGICAL AND BIOMEDICAL SCIENCES.,Master's degree,,"3,879","2,694","2,924","2,868","2,705","2,673","2,596","2,507","2,446","2,284","2,180","2,153","1,956","1,837","1,753","1,499","1,316","1,298","1,227","1,130","1,001",924,952,800,881,938,977
Temporary resident,26 - BIOLOGICAL AND BIOMEDICAL SCIENCES.,Doctor's degree - research/scholarship,,"2,256","2,043","1,840","2,038","1,970","2,082","2,083","2,121","2,229","2,289","2,186","2,161","2,137","2,158",883,464,-,-,-,-,-,-,-,-,-,-,-
Temporary resident,27 - MATHEMATICS AND STATISTICS.,,,"13,299","12,267","13,556","13,578","12,507","11,494","10,059","8,764","7,420","6,730","5,974","4,963","4,180","3,917","3,187","2,641","2,357","2,479","2,423","2,359","2,039","1,673","1,605","1,519","1,439","1,391","1,462"
Temporary resident,27 - MATHEMATICS AND STATISTICS.,Bachelor's degree,,"5,030","5,392","5,563","5,634","4,871","4,404","4,093","3,426","2,827","2,438","2,079","1,641","1,189",889,744,685,641,750,715,643,593,434,412,447,455,429,509
Temporary resident,27 - MATHEMATICS AND STATISTICS.,Master's degree,,"7,130","5,669","6,928","6,835","6,618","6,087","5,023","4,465","3,691","3,376","2,983","2,504","2,251","2,297","2,086","1,808","1,716","1,729","1,708","1,716","1,446","1,239","1,193","1,072",984,962,953
Temporary resident,27 - MATHEMATICS AND STATISTICS.,Doctor's degree - research/scholarship,,"1,139","1,206","1,065","1,109","1,018","1,003",943,873,902,916,912,818,740,731,357,148,-,-,-,-,-,-,-,-,-,-,-
Temporary resident,40 - PHYSICAL SCIENCES.,,,"6,240","6,320","6,250","6,437","6,477","6,448","6,280","6,051","5,811","5,790","5,448","5,224","4,917","4,672","3,586","3,052","2,500","2,579","2,458","2,334","1,999","2,005","2,041","1,932","2,001","2,193","2,338"
Temporary resident,40 - PHYSICAL SCIENCES.,Bachelor's degree,,"1,813","1,977","2,062","2,185","2,146","1,942","1,775","1,598","1,469","1,391","1,292","1,093","1,013",913,898,856,816,846,761,650,581,604,609,579,606,678,671
Temporary resident,40 - PHYSICAL SCIENCES.,Master's degree,,"1,840","1,631","1,831","1,914","1,865","2,066","2,150","2,064","2,056","1,986","1,951","1,976","1,745","1,675","1,661","1,707","1,684","1,733","1,697","1,684","1,418","1,401","1,432","1,353","1,395","1,515","1,667"
Temporary resident,40 - PHYSICAL SCIENCES.,Doctor's degree - research/scholarship,,"2,587","2,712","2,357","2,338","2,466","2,440","2,355","2,389","2,286","2,413","2,205","2,155","2,159","2,084","1,027",489,-,-,-,-,-,-,-,-,-,-,-
